course_field,course_code
Creative Arts,609270
Creative Arts,602070
Creative Arts,609555
Creative Arts,609290
Creative Arts,283256
Creative Arts,363205
Creative Arts,720733
Creative Arts,422141
Creative Arts,422145
Creative Arts,421051
Creative Arts,421101
Creative Arts,160521
Creative Arts,333103
Creative Arts,333130
Creative Arts,BEM-Syd
Creative Arts,BEM-Mel
Creative Arts,550106
Creative Arts,630090
Creative Arts,630095
Creative Arts,630080
Creative Arts,630085
Creative Arts,551022
Creative Arts,620010
Creative Arts,421000
Creative Arts,421010
Creative Arts,421001
Creative Arts,421020
Creative Arts,422140
Creative Arts,422143
Creative Arts,425560
Creative Arts,421030
Creative Arts,551090
Creative Arts,729026
Creative Arts,283427
Creative Arts,722530
Creative Arts,722535
Creative Arts,W10010
Creative Arts,754700
Creative Arts,751660
Creative Arts,751234
Creative Arts,751664
Creative Arts,751665
Creative Arts,751666
Creative Arts,751663
Creative Arts,422800
Creative Arts,422700
Creative Arts,422710
Creative Arts,422720
Creative Arts,197500
Creative Arts,300154
Creative Arts,391640
Creative Arts,391641
Creative Arts,421200
Creative Arts,422142
Creative Arts,422810
Creative Arts,422500
Creative Arts,139114
Creative Arts,160821
Creative Arts,300148
Creative Arts,401604
Creative Arts,401606
Creative Arts,513400
Creative Arts,720720
Creative Arts,AM
Creative Arts,AUD
Creative Arts,CLAS
Creative Arts,CMP-Syd
Creative Arts,CMP-Mel
Creative Arts,513405
Creative Arts,PCO-Syd
Creative Arts,PCO-Mel
Creative Arts,720126
Creative Arts,513410
Creative Arts,MT-Syd
Creative Arts,MT-Mel
Creative Arts,80
Creative Arts,513415
Creative Arts,489814
Creative Arts,489813
Creative Arts,600006
Creative Arts,609296
Creative Arts,JMC010
Creative Arts,JMC090
Creative Arts,JMC020
Creative Arts,422531
Creative Arts,513406
Creative Arts,513416
Creative Arts,422501
Creative Arts,422510
Creative Arts,720734
Creative Arts,422502
Creative Arts,422520
Creative Arts,422503
Creative Arts,422504
Creative Arts,422505
Creative Arts,422530
Creative Arts,754820
Creative Arts,751296
Creative Arts,754825
Creative Arts,751284
Creative Arts,720718
Creative Arts,630310
Creative Arts,630315
Creative Arts,751285
Creative Arts,551021
Creative Arts,139104
Creative Arts,513290
Creative Arts,103304
Creative Arts,513295
Creative Arts,484650
Creative Arts,729605
Creative Arts,729396
Creative Arts,729404
Creative Arts,729622
Creative Arts,729623
Creative Arts,729624
Creative Arts,729426
Creative Arts,729427
Creative Arts,729428
Creative Arts,729638
Creative Arts,729639
Creative Arts,729443
Creative Arts,729444
Creative Arts,630220
Creative Arts,630225
Creative Arts,551141
Creative Arts,333014
Creative Arts,333064
Creative Arts,301003
Creative Arts,JMC035
Creative Arts,630230
Creative Arts,630235
Creative Arts,551111
Creative Arts,360005
Creative Arts,JMC055
Creative Arts,JMC075
Creative Arts,JMC065
Creative Arts,630450
Creative Arts,630455
Creative Arts,551150
Creative Arts,360035
Creative Arts,JMC085
Creative Arts,160811
Creative Arts,550107
Creative Arts,630240
Creative Arts,630245
Creative Arts,551142
Creative Arts,551190
Creative Arts,630250
Creative Arts,630255
Creative Arts,630260
Creative Arts,630265
Creative Arts,551110
Creative Arts,130015
Creative Arts,640040
Creative Arts,160831
Creative Arts,630270
Creative Arts,630275
Creative Arts,JMC015
Creative Arts,JMC095
Creative Arts,JMC025
Creative Arts,551160
Creative Arts,630300
Creative Arts,551143
