tSNE1,tSNE2,course_code,PC1,PC2,PC3,auto1,auto2
24.988833858378953,22.47284942938888,424450,5.602379482567656,1.138600526130934,-2.6583038535071073,-0.47928017377853394,0.5371654629707336
-27.202267539428476,-5.046246229580561,424480,-3.507505434247787,-6.137030154052336,-3.41662277039165,1.3968509435653687,0.07326612621545792
-2.0707750670927685,-1.7372410985223232,424500,-3.716277986004841,1.6115587748596958,-1.725634437915296,0.3576359748840332,-0.15341180562973022
21.22446858759402,25.018025300656042,424600,-0.840847905837596,4.3177645428988916,0.7420179568151545,-0.491921603679657,-0.40847164392471313
16.790955057244346,19.482635026258524,424620,4.000268143611852,2.3540482909474485,-0.692123714196483,-0.4395929276943207,0.8332465291023254
19.30566934230907,27.109086596485668,424640,-2.383345566567522,-0.46867409417520406,-1.5895406077409258,0.31370770931243896,-0.21036744117736816
-17.056452376251528,-14.69373165352175,425000,-4.1089644494988535,-10.772569977952426,0.6015978873604763,1.434935450553894,0.07394230365753174
-23.12575380823483,-12.119027242891377,425020,-5.501316511532252,-13.255765866524987,-5.080157704289215,2.425813913345337,0.37937092781066895
-13.88913063327128,-13.238910966317176,425050,-0.6146999619949414,-4.585714928684217,-2.939754414897884,0.7576186060905457,0.41758283972740173
-24.00986198511519,-9.975771789071308,425100,-6.093468928074197,-8.40719709574844,-4.119523573230246,1.8002991676330566,-0.1411270797252655
-24.348745483464135,-9.958257793098358,425150,-7.586052293201126,-9.024951519271852,-0.8612460039102308,1.8692001104354858,-0.6855254769325256
-13.099165820472649,-9.655949571045653,425200,-6.356595904621156,-7.333108201043719,-0.33229091504826896,1.4111183881759644,-0.10467531532049179
-15.986276416724934,-15.562326778061891,425300,-5.7004180320473825,-5.026126031728988,1.5057775594334502,1.0385364294052124,-0.34402474761009216
-18.526650781007067,-17.76874943147672,425400,-1.5581706023914168,-9.843109086491813,1.6885354954265983,1.3139538764953613,0.07783260196447372
-16.83308874011651,-14.844053879647676,425401,-3.6029360529723053,-9.266693939424758,1.9311674094317341,1.114003300666809,-6.991103291511536e-4
-14.892373253106197,-10.988992057349874,425402,-3.4214581372174857,-5.402226913222598,0.057869333185734034,1.1454277038574219,-0.038968876004219055
-19.769917922297836,-19.05624112733183,425450,-0.8747479591015506,-3.6841787205330903,-4.387646741001906,0.8620070219039917,-0.21364930272102356
-17.85746900224956,-17.758373537971632,425470,-1.8846373418878561,-8.854226156151297,3.364740007170821,1.1305545568466187,-0.022646062076091766
-14.788187173064818,-10.910362904430535,425500,-3.930926149756854,-4.657158819799476,-0.44752361586022726,1.1288890838623047,-0.008512906730175018
-17.35705354150085,-15.783448641652038,425550,-0.028875265386480553,-11.072709036729142,0.02759598987643423,1.2601741552352905,0.6399102807044983
-16.801637818182968,-13.678079655791123,425560,-2.4960665285452275,-5.328795119583704,-3.103113680360472,0.8437504172325134,0.10278714448213577
15.441515221376964,-22.72088601893951,425600,4.291551629135679,-3.436958132195986,6.267452791260984,-0.3277096748352051,0.42690449953079224
-15.829987116506105,-15.530072966664452,425650,-3.714422147805421,-4.978614918822935,1.5062981929039427,0.6555479168891907,0.14101535081863403
-24.786749499660502,-10.19864786086824,425700,-6.651787617716667,-8.676114628857006,-0.9189316328115306,1.628318190574646,-0.3467899262905121
-28.18409285693849,-8.960255855319746,425750,-10.230532734864644,-8.77298937234506,-2.7907914777040035,1.5168665647506714,-0.9230780005455017
2.26971754475981,-25.191691334851665,425770,5.253843831882146,-6.587340043021527,-4.640166963400739,0.817459762096405,1.0255279541015625
-27.082586362702575,-4.707800799120559,425800,-2.5326554438227533,-3.247826167516089,-3.538441464921979,0.9480448365211487,0.014259777963161469
-25.174774472526003,2.319478701196012,425810,-2.9638109882498735,-1.9424977593789137,-6.078573526217265,0.8369983434677124,0.053957030177116394
-16.774007941539566,-13.985616381085546,425850,-3.226289325698427,-5.85341886869997,0.08283849264333919,0.9615973234176636,0.08205155283212662
-16.996283461806637,-14.556265713033802,425900,-3.8259023541855526,-8.84663973139583,0.5767077690069548,1.2136543989181519,-0.013100236654281616
9.938248421081243,-19.592484429786666,425950,2.7073577641513387,-5.62803788735497,0.8656099594006939,0.5773617625236511,0.8293221592903137
-17.093110690807563,-14.716775323770566,425960,-3.9296721093876497,-10.961141731869711,0.528962659361205,1.4390965700149536,0.0951952114701271
-27.25481718716365,-5.11393369139752,425970,-4.792412432146492,-6.589289978271133,-3.198159553692551,1.6009862422943115,0.02365858107805252
5.213640464659911,26.23083658867263,426000,-2.3998922553303945,5.713673363478853,2.559378642699545,-0.5759314894676208,-0.5932021141052246
5.130859321077224,26.279977888142053,426060,-1.966792936155917,5.666674363989992,2.697151607385406,-0.6447630524635315,-0.5693000555038452
9.764486716859338,-8.371542065616453,428000,-0.37232835047999013,2.0189402803622936,0.8635029530839432,-0.007029712200164795,0.09771261364221573
8.063057744581918,-13.663272426097027,428100,9.351840876658414,-3.284445287661494,1.9035276518736715,-0.2265961766242981,1.5509613752365112
20.718933077847492,-16.80019505110107,428200,4.311605682485827,1.9432158783721636,10.442520236042027,-0.895819365978241,-0.11589732021093369
14.391098294691725,-21.456649005431625,428300,5.050135691319463,-0.8519779956127955,3.2513519982675354,-0.27251020073890686,0.8360331654548645
9.64229318310662,-21.729158735350122,428400,6.576395831910102,-3.9795477920665716,0.7959772435064959,0.0023972392082214355,1.540069580078125
